gename,geneid,class
DPAGT1,100689054,N-glycan
MGAT3,100689076,N-glycan
ST8SIA4,100689217,N-glycan
DPM2,100689294,N-glycan
B4GALT3,100689346,N-glycan
ST6GAL1,100689389,N-glycan
DPM1,100689420,N-glycan
B4GALT1,100689430,N-glycan
B4GALT2,100689434,N-glycan
DPM3,100689451,N-glycan
FUT8,100751648,N-glycan
MGAT2,100753385,N-glycan
ALG6,100753783,N-glycan
ALG10,100753866,N-glycan
ALG9,100755062,N-glycan
ST8SIA2,100759559,N-glycan
MGAT5,100760162,N-glycan
FUT10,100760260,N-glycan
B4GALNT2,100760696,N-glycan
MGAT4C,100761144,N-glycan
UGGT2,100762273,N-glycan
ST6GAL2,100763756,N-glycan
ST8SIA3,100764454,N-glycan
ALG8,100766150,N-glycan
MGAT4A,100766200,N-glycan
ALG2,100768412,N-glycan
MGAT4B,100768637,N-glycan
ALG12,100770096,N-glycan
CHST9,100770625,N-glycan
ALG11,100771009,N-glycan
MGAT5B,100771275,N-glycan
ALG3,100772003,N-glycan
ALG1,100773731,N-glycan
UGGT1,100773968,N-glycan
ALG14,103158826,N-glycan
ALG13,103160092,N-glycan
B3GNT8,103160327,N-glycan
CHST8,103162159,N-glycan
ALG5,103162709,N-glycan
ST8SIA4,100689217,O-glycan_mucin
B4GALT5,100689347,O-glycan_mucin
GALNT6,100751126,O-glycan_mucin
GALNT3,100753226,O-glycan_mucin
ST3GAL1,100754088,O-glycan_mucin
GALNT5,100757219,O-glycan_mucin
GCNT4,100757239,O-glycan_mucin
GALNT11,100758359,O-glycan_mucin
GALNT14,100759781,O-glycan_mucin
B4GALNT2,100760696,O-glycan_mucin
C1GALT1,100761169,O-glycan_mucin
GALNT7,100762043,O-glycan_mucin
GALNT1,100763868,O-glycan_mucin
GALNT8,100764127,O-glycan_mucin
GALNT16,100764829,O-glycan_mucin
GALNT4,100765247,O-glycan_mucin
GALNT15,100766936,O-glycan_mucin
GCNT1,100767124,O-glycan_mucin
GALNT18,100767393,O-glycan_mucin
GALNT2,100767525,O-glycan_mucin
ST3GAL2,100767717,O-glycan_mucin
GALNT10,100768523,O-glycan_mucin
B3GNT6,100768656,O-glycan_mucin
GALNT13,100768831,O-glycan_mucin
C1GALT1C1,100770484,O-glycan_mucin
A4GNT,100771969,O-glycan_mucin
GALNT12,100772146,O-glycan_mucin
GALNT9,100773797,O-glycan_mucin
ST8SIA6,100774188,O-glycan_mucin
GCNT3,100774815,O-glycan_mucin
ST6GALNAC2,103161711,O-glycan_mucin
ST6GALNAC1,103164123,O-glycan_mucin
FUT9,100689036,O-glycan_notmucin
B4GALT3,100689346,O-glycan_notmucin
ST6GAL1,100689389,O-glycan_notmucin
B4GALT1,100689430,O-glycan_notmucin
B4GALT2,100689434,O-glycan_notmucin
B4GALT4,100689435,O-glycan_notmucin
B3GAT1,100750701,O-glycan_notmucin
POFUT1,100753417,O-glycan_notmucin
FUT4,100754814,O-glycan_notmucin
ST3GAL5,100754838,O-glycan_notmucin
POMT1,100755033,O-glycan_notmucin
CHST10,100755464,O-glycan_notmucin
B3GAT2,100756696,O-glycan_notmucin
EOGT,100757071,O-glycan_notmucin
GXYLT2,100758512,O-glycan_notmucin
B3GLCT,100759864,O-glycan_notmucin
XXYLT1,100760146,O-glycan_notmucin
POGLUT1,100760325,O-glycan_notmucin
GXYLT1,100760543,O-glycan_notmucin
LFNG,100762397,O-glycan_notmucin
LFNG,100762397,O-glycan_notmucin
MFNG,100762875,O-glycan_notmucin
MFNG,100762875,O-glycan_notmucin
ST6GAL2,100763756,O-glycan_notmucin
POMT2,100764752,O-glycan_notmucin
POFUT2,100765129,O-glycan_notmucin
B3GALNT2,100768564,O-glycan_notmucin
OGT,100768670,O-glycan_notmucin
POMGNT2,100770708,O-glycan_notmucin
POMK,100771074,O-glycan_notmucin
RFNG,100771257,O-glycan_notmucin
RFNG,100771257,O-glycan_notmucin
MGAT5B,100771275,O-glycan_notmucin
FUT7,100772214,O-glycan_notmucin
POMGNT1,100772511,O-glycan_notmucin
